scientificName,decimalLongitude,decimalLatitude
Phoca vitulina,11.03203,58.82411
Phoca vitulina,-122.913772,47.111823
Phoca vitulina,11.18864,58.54697
Phoca vitulina,11.05232,58.54535
Phoca vitulina,11.91827,57.38934
Phoca vitulina,-68.898933,43.8221
Phoca vitulina,-66.084701,45.260005
Phoca vitulina,11.03096,58.58912
Phoca vitulina,-122.817744,47.717432
Phoca vitulina,-122.8263,47.343706
Phoca vitulina,-122.910247,47.642067
Phoca vitulina,-2.467,56.583
Phoca vitulina,-66.071022,45.271331
Phoca vitulina,-66.08584,45.25954
Phoca vitulina,-68.861283,44.217233
Phoca vitulina,-68.746117,44.247783
Phoca vitulina,11.93785,57.36055
Phoca vitulina,-122.671576,48.041566
Phoca vitulina,3.1245,51.317202
Phoca vitulina,-66.077674,45.269119
Phoca vitulina,16.11821,56.41163
Phoca vitulina,10.96929,58.92145
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-122.810075,47.178879
Phoca vitulina,11.34705,58.08133
Phoca vitulina,12.11821,57.19236
Phoca vitulina,10.95816,58.92966
Phoca vitulina,-67.406983,44.570633
Phoca vitulina,-69.586515,43.770988
Phoca vitulina,-69.95114,43.80256
Phoca vitulina,-71.4,41.450278
Phoca vitulina,2.3367,51.0567
Phoca vitulina,-66.071022,45.271331
Phoca vitulina,11.05793,58.54284
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,3.1245,51.317202
Phoca vitulina,11.93687,57.3672
Phoca vitulina,-68.087,44.102
Phoca vitulina,-124.12667,44.03833
Phoca vitulina,-122.503783,48.298751
Phoca vitulina,2.20667,50.94124
Phoca vitulina,11.03496,58.78823
Phoca vitulina,-59.3832,47.3347
Phoca vitulina,-67.143335,44.823527
Phoca vitulina,1.5169,50.2029
Phoca vitulina,-68.714185,44.267167
Phoca vitulina,11.34348,58.08479
Phoca vitulina,2.0369,50.9986
Phoca vitulina,-122.795797,47.34344
Phoca vitulina,-69.01,43.899
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,11.90191,57.38888
Phoca vitulina,10.99241,58.75795
Phoca vitulina,-66.077674,45.269119
Phoca vitulina,11.59627,57.81634
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,11.63775,57.81977
Phoca vitulina,12.05531,57.26777
Phoca vitulina,-67.559708,44.490975
Phoca vitulina,11.05667,58.56836
Phoca vitulina,11.73221,57.50516
Phoca vitulina,-69.3873,43.930317
Phoca vitulina,-66.078419,45.267694
Phoca vitulina,11.94052,57.38686
Phoca vitulina,11.0126,58.83574
Phoca vitulina,11.24199,58.4698
Phoca vitulina,11.02784,58.82193
Phoca vitulina,-68.634773,44.08715
Phoca vitulina,-66.071022,45.271331
Phoca vitulina,-66.071022,45.271331
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-69.97456,43.725167
Phoca vitulina,-67.523665,44.556665
Phoca vitulina,-68.828817,44.14395
Phoca vitulina,-68.957,44.208
Phoca vitulina,-122.650012,47.177463
Phoca vitulina,4.77667,52.9975
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-122.668631,47.536333
Phoca vitulina,-122.724638,47.31069
Phoca vitulina,-69.123067,43.983633
Phoca vitulina,-68.75,44
Phoca vitulina,2.744354,51.143546
Phoca vitulina,-122.899509,48.083588
Phoca vitulina,-122.653312,47.943807
Phoca vitulina,-66.071022,45.271331
Phoca vitulina,-68.59991,44.140633
Phoca vitulina,-69.671297,43.878853
Phoca vitulina,-68.801,44.515
Phoca vitulina,-66.08584,45.25954
Phoca vitulina,-68.808,44.217233
Phoca vitulina,-170.4,57.04583
Phoca vitulina,12.05459,57.26097
Phoca vitulina,11.34192,58.08312
Phoca vitulina,-122.35279,47.874907
Phoca vitulina,-66.077674,45.269119
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-68.33615,44.18365
Phoca vitulina,12.35247,56.98495
Phoca vitulina,11.83183,57.44755
Phoca vitulina,11.127,58.82671
Phoca vitulina,11.18864,58.54697
Phoca vitulina,-67.9563,44.335
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,2.892546,51.224631
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,12.1943,57.14467
Phoca vitulina,-121.8341,36.87864
Phoca vitulina,19.90361,63.30278
Phoca vitulina,16.40218,56.19528
Phoca vitulina,-66.077674,45.269119
Phoca vitulina,1.5169,50.2029
Phoca vitulina,2.88119,51.219059
Phoca vitulina,-122.948364,47.112356
Phoca vitulina,-66.077674,45.269119
Phoca vitulina,-67.55417,44.528223
Phoca vitulina,-122.507119,47.841325
Phoca vitulina,-122.680924,47.243125
Phoca vitulina,-70.374577,43.46694
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-69.085,44.001017
Phoca vitulina,19.90361,63.30278
Phoca vitulina,-122.41119,48.30793
Phoca vitulina,12.1943,57.14467
Phoca vitulina,16.018,56.21141
Phoca vitulina,15.98181,56.1973
Phoca vitulina,11.18773,58.41914
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-66.077674,45.269119
Phoca vitulina,11.83094,57.44887
Phoca vitulina,2.914037,51.234701
Phoca vitulina,-68.58422,44.048823
Phoca vitulina,-70.077873,43.738338
Phoca vitulina,10.9769,58.77726
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,12.05459,57.26096
Phoca vitulina,11.5944,57.84087
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-119.868161,34.406046
Phoca vitulina,10.99504,58.78256
Phoca vitulina,-66.084701,45.260005
Phoca vitulina,12.05081,57.2727
Phoca vitulina,-68.45,44.046
Phoca vitulina,11.01667,58.81969
Phoca vitulina,11.66805,57.87476
Phoca vitulina,-122.42669,47.288613
Phoca vitulina,-68.712703,44.109615
Phoca vitulina,11.87373,57.50688
Phoca vitulina,-68.978033,44.159983
Phoca vitulina,11.02621,58.81816
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,11.73864,57.53284
Phoca vitulina,-119.875392,34.403153
Phoca vitulina,-68.692822,44.109327
Phoca vitulina,1.9521,50.9894
Phoca vitulina,11.09262,58.54245
Phoca vitulina,-1.5033,48.685
Phoca vitulina,12.16988,57.13969
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,11.61537,57.8364
Phoca vitulina,-69.58,43.738
Phoca vitulina,-68.731533,44.270833
Phoca vitulina,-1.2516,49.4801
Phoca vitulina,-69.575562,43.79161
Phoca vitulina,11.03942,58.58432
Phoca vitulina,-122.824292,47.179413
Phoca vitulina,-64.91,43.43
Phoca vitulina,10.97932,58.77667
Phoca vitulina,11.03928,58.58686
Phoca vitulina,-68.864,44.399
Phoca vitulina,2.63119,51.122241
Phoca vitulina,-69.395267,43.916133
Phoca vitulina,11.09262,58.54245
Phoca vitulina,-122.671935,47.939615
Phoca vitulina,-122.4613,37.81219
Phoca vitulina,12.13104,57.21097
Phoca vitulina,-69.073333,43.979033
Phoca vitulina,11.04884,58.58913
Phoca vitulina,11.91072,57.38802
Phoca vitulina,-67.8496,44.447233
Phoca vitulina,-68.801,44.515
Phoca vitulina,11.82796,57.45891
Phoca vitulina,11.36032,58.2364
Phoca vitulina,-122.712815,47.30955
Phoca vitulina,11.65305,57.81126
Phoca vitulina,-71.440278,41.476389
Phoca vitulina,2.813988,51.189582
Phoca vitulina,-122.716867,47.110198
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-75.3402,37.8898
Phoca vitulina,-69.390483,43.926567
Phoca vitulina,-67.699043,44.508048
Phoca vitulina,2.0369,50.9986
Phoca vitulina,-122.569872,47.845496
Phoca vitulina,11.75168,57.52354
Phoca vitulina,11.04535,58.5658
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-68.487435,44.402815
Phoca vitulina,-66.077674,45.269119
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,12.1943,57.14467
Phoca vitulina,16.51103,56.28665
Phoca vitulina,-122.698803,48.141848
Phoca vitulina,-67.863567,44.365283
Phoca vitulina,-69.2892,43.88625
Phoca vitulina,2.3367,51.0567
Phoca vitulina,-69.340383,43.854533
Phoca vitulina,-122.438808,47.278484
Phoca vitulina,2.744354,51.143546
Phoca vitulina,-122.406685,48.144943
Phoca vitulina,-68.7989,44.206233
Phoca vitulina,11.36236,58.25428
Phoca vitulina,16.16313,56.47837
Phoca vitulina,-68.928,44.351
Phoca vitulina,-69.40205,44.023183
Phoca vitulina,-69.980518,43.817078
Phoca vitulina,1.5476,50.2583
Phoca vitulina,-122.739993,47.146952
Phoca vitulina,11.0712,58.55252
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,11.34755,58.22338
Phoca vitulina,-68.136,44.104
Phoca vitulina,-68.787,44.219
Phoca vitulina,-69.594075,43.799325
Phoca vitulina,11.06983,58.56866
Phoca vitulina,-66.084701,45.260005
Phoca vitulina,-66.071022,45.271331
Phoca vitulina,-68.828583,44.290383
Phoca vitulina,2.3367,51.0567
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-65.2898,43.662
Phoca vitulina,11.34109,58.08613
Phoca vitulina,-66.077674,45.269119
Phoca vitulina,-66.071022,45.271331
Phoca vitulina,10.97932,58.77667
Phoca vitulina,-68.840883,44.260633
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-122.59174,47.20948
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-67.71225,44.437367
Phoca vitulina,15.97173,56.17907
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-66.071022,45.271331
Phoca vitulina,-119.875375,34.406974
Phoca vitulina,-119.873643,34.405965
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-66.077674,45.269119
Phoca vitulina,-124.18667,47.04833
Phoca vitulina,-136.5815,58.0183
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-5.81692,55.86067
Phoca vitulina,-122.3783,37.8289
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,11.82735,57.45839
Phoca vitulina,2.744354,51.143546
Phoca vitulina,-66.071022,45.271331
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,11.75844,57.5225
Phoca vitulina,3.258014,51.346506
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,11.35062,58.28418
Phoca vitulina,-68.8048,44.182433
Phoca vitulina,-68.94255,44.198467
Phoca vitulina,10.97932,58.77667
Phoca vitulina,1.5169,50.2029
Phoca vitulina,-66.08787,45.258933
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-66.077674,45.269119
Phoca vitulina,1.6624,50.8895
Phoca vitulina,-120.0333,33.9
Phoca vitulina,-67.11311,44.873275
Phoca vitulina,10.96929,58.92145
Phoca vitulina,-68.440462,44.231247
Phoca vitulina,-68.613892,44.15977
Phoca vitulina,3.028073,51.278989
Phoca vitulina,-6.217,58.5
Phoca vitulina,-67.984,44.37
Phoca vitulina,-68.897167,44.066933
Phoca vitulina,-122.945729,48.111357
Phoca vitulina,-122.296794,47.952531
Phoca vitulina,2.696348,51.143694
Phoca vitulina,12.05531,57.26777
Phoca vitulina,11.63189,57.62781
Phoca vitulina,11.85492,57.37359
Phoca vitulina,11.34224,58.28689
Phoca vitulina,11.34594,58.08302
Phoca vitulina,16.384,56.41867
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-66.7407,44.875
Phoca vitulina,3.1245,51.317202
Phoca vitulina,-71.336389,41.458611
Phoca vitulina,-68.590112,44.223882
Phoca vitulina,-66.077674,45.269119
Phoca vitulina,-122.873168,47.713466
Phoca vitulina,-122.353977,47.432004
Phoca vitulina,-69.25165,43.90865
Phoca vitulina,11.74273,57.53232
Phoca vitulina,11.0346,58.53654
Phoca vitulina,-66.071022,45.271331
Phoca vitulina,-122.574066,47.238114
Phoca vitulina,12.05126,57.26028
Phoca vitulina,10.99064,58.7842
Phoca vitulina,3.168542,51.331082
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,11.34526,58.29048
Phoca vitulina,-144.3127,60.0875
Phoca vitulina,-122.845547,47.741508
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-122.707781,47.311517
Phoca vitulina,-69.690902,43.916633
Phoca vitulina,3.077772,51.302658
Phoca vitulina,-66.071022,45.271331
Phoca vitulina,-68.168,44.136
Phoca vitulina,-119.87455,34.405265
Phoca vitulina,11.01859,58.82113
Phoca vitulina,15.97173,56.17907
Phoca vitulina,-71.500278,41.367778
Phoca vitulina,11.06964,58.85041
Phoca vitulina,-66.077674,45.269119
Phoca vitulina,-68.684228,44.0708
Phoca vitulina,-122.593035,47.946035
Phoca vitulina,12.54967,56.43114
Phoca vitulina,-122.67133,47.950407
Phoca vitulina,-66.071022,45.271331
Phoca vitulina,11.82738,57.4576
Phoca vitulina,2.956873,51.249204
Phoca vitulina,16.14858,56.47264
Phoca vitulina,-122.825395,47.110341
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-63.5339,44.5857
Phoca vitulina,-122.478383,47.343338
Phoca vitulina,11.83094,57.44887
Phoca vitulina,11.831,57.44962
Phoca vitulina,-122.342392,47.910798
Phoca vitulina,11.831,57.44962
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-66.071022,45.271331
Phoca vitulina,-122.712992,47.113225
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-119.868923,34.405714
Phoca vitulina,-122.508436,47.87752
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,11.15347,58.54536
Phoca vitulina,16.1756,56.49068
Phoca vitulina,11.33647,58.27212
Phoca vitulina,-69.233817,43.909583
Phoca vitulina,-68.8179,44.20595
Phoca vitulina,0.2118,49.4241
Phoca vitulina,11.29201,58.30524
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-69.618555,43.752597
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-69.340383,43.854533
Phoca vitulina,-66.731,44.7907
Phoca vitulina,-69.073608,43.965552
Phoca vitulina,-122.724008,48.020268
Phoca vitulina,-50.8667,53.05
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-122.405657,48.175237
Phoca vitulina,-69.01,43.899
Phoca vitulina,11.08436,58.53058
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-122.892087,47.410562
Phoca vitulina,2.696348,51.143694
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,3.08,56.9
Phoca vitulina,-67.481885,44.562207
Phoca vitulina,3.2836,51.351
Phoca vitulina,11.34728,58.26903
Phoca vitulina,11.0346,58.53654
Phoca vitulina,-122.488138,48.109695
Phoca vitulina,15.97173,56.17907
Phoca vitulina,-119.880367,34.406307
Phoca vitulina,-136.0422,58.7065
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,11.68105,57.78279
Phoca vitulina,-68.79185,44.016933
Phoca vitulina,0.0877,49.3768
Phoca vitulina,-66.08584,45.25954
Phoca vitulina,-66.084701,45.260005
Phoca vitulina,16.51103,56.28665
Phoca vitulina,4.273813,51.31094
Phoca vitulina,-122.737067,47.208107
Phoca vitulina,-122.91569,47.643682
Phoca vitulina,11.34676,58.22183
Phoca vitulina,-122.632015,47.13965
Phoca vitulina,11.33896,58.27305
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-66.08787,45.258933
Phoca vitulina,11.05029,58.82747
Phoca vitulina,-10.035923,54.183427
Phoca vitulina,11.90666,57.38752
Phoca vitulina,11.90191,57.38888
Phoca vitulina,-66.077674,45.269119
Phoca vitulina,1.6055,50.2341
Phoca vitulina,-8.543849,51.695692
Phoca vitulina,10.98206,58.93372
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-68.208887,44.42168
Phoca vitulina,11.34543,58.23201
Phoca vitulina,11.1787,58.54237
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-69.5691,43.887562
Phoca vitulina,1.6269,50.1903
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,12.05228,57.26027
Phoca vitulina,-68.33615,44.18365
Phoca vitulina,-66.071022,45.271331
Phoca vitulina,-122.837026,47.71062
Phoca vitulina,10.86604,58.97002
Phoca vitulina,11.35991,58.2537
Phoca vitulina,-66.084701,45.260005
Phoca vitulina,-68.419,44.058
Phoca vitulina,-119.3191,34.277
Phoca vitulina,11.90803,57.38642
Phoca vitulina,-68.885767,44.190702
Phoca vitulina,16.16313,56.47837
Phoca vitulina,-122.682955,48.045478
Phoca vitulina,-68.738717,44.246417
Phoca vitulina,-122.539645,48.239538
Phoca vitulina,10.99165,58.94827
Phoca vitulina,16.14858,56.47264
Phoca vitulina,-68.8048,44.182433
Phoca vitulina,-69.684138,43.86906
Phoca vitulina,-122.44697,37.93903
Phoca vitulina,11.04984,58.57441
Phoca vitulina,-68.824083,44.214933
Phoca vitulina,-66.084701,45.260005
Phoca vitulina,11.64028,57.82185
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-122.6542,47.539458
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-68.63418,44.119047
Phoca vitulina,11.90191,57.38888
Phoca vitulina,-68.423,44.236
Phoca vitulina,-122.380574,47.498965
Phoca vitulina,11.34441,58.10013
Phoca vitulina,-69.184033,43.976517
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,11.17462,58.51564
Phoca vitulina,16.40218,56.19528
Phoca vitulina,11.82785,57.45714
Phoca vitulina,-66.071022,45.271331
Phoca vitulina,11.02584,58.81746
Phoca vitulina,-122.427566,47.279755
Phoca vitulina,-70.503368,43.337023
Phoca vitulina,11.0791,58.55567
Phoca vitulina,-66.08787,45.258933
Phoca vitulina,11.30731,58.29964
Phoca vitulina,-9.799321,51.766773
Phoca vitulina,-122.890038,47.677751
Phoca vitulina,-119.879299,34.403825
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-68.74108,44.429505
Phoca vitulina,11.75894,57.52016
Phoca vitulina,11.02479,58.53813
Phoca vitulina,11.34575,58.08209
Phoca vitulina,-67.426917,44.594442
Phoca vitulina,16.16313,56.47837
Phoca vitulina,-66.077674,45.269119
Phoca vitulina,-70.480395,43.335657
Phoca vitulina,-68.979633,44.183367
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,12.80907,55.36583
Phoca vitulina,1.5502,50.3504
Phoca vitulina,-68.438843,44.040958
Phoca vitulina,-122.831467,47.777036
Phoca vitulina,-66.071022,45.271331
Phoca vitulina,-68.94645,44.21795
Phoca vitulina,-67.816,44.524
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-9.029132,52.677548
Phoca vitulina,-68.33615,44.18365
Phoca vitulina,2.3367,51.0567
Phoca vitulina,-72.076944,41.512778
Phoca vitulina,1.747,50.9445
Phoca vitulina,-122.513537,47.310125
Phoca vitulina,-66.071022,45.271331
Phoca vitulina,12.55067,56.42933
Phoca vitulina,-119.870017,34.406015
Phoca vitulina,-69.0549,44.012467
Phoca vitulina,-68.453044,44.190255
Phoca vitulina,11.13188,58.82436
Phoca vitulina,-67.574707,44.50575
Phoca vitulina,11.34575,58.08209
Phoca vitulina,-122.749917,48.142397
Phoca vitulina,11.46866,57.91675
Phoca vitulina,12.51873,56.83288
Phoca vitulina,2.5269,51.083
Phoca vitulina,-122.915694,47.644137
Phoca vitulina,-68.34,44.16
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,11.18864,58.54697
Phoca vitulina,2.588026,51.104404
Phoca vitulina,11.00163,58.84225
Phoca vitulina,11.34575,58.08209
Phoca vitulina,-69.0699,44.002817
Phoca vitulina,14.83,68.2
Phoca vitulina,-69.721565,43.760953
Phoca vitulina,-66.084701,45.260005
Phoca vitulina,12.15524,57.14088
Phoca vitulina,-65.38,43.48
Phoca vitulina,11.34594,58.08302
Phoca vitulina,12.05081,57.2727
Phoca vitulina,-68.550952,44.05286
Phoca vitulina,11.08436,58.53058
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,11.33622,58.27086
Phoca vitulina,11.01667,58.81969
Phoca vitulina,-122.708758,47.273872
Phoca vitulina,-66.077674,45.269119
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-67.059372,44.8873
Phoca vitulina,-68.304267,44.2257
Phoca vitulina,12.1943,57.14467
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,11.02768,58.81881
Phoca vitulina,-122.784245,47.677979
Phoca vitulina,10.99504,58.78256
Phoca vitulina,-67.607478,44.473642
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,15.97638,56.19688
Phoca vitulina,-67.391,44.277
Phoca vitulina,-122.641547,48.143247
Phoca vitulina,-68.66075,44.03837
Phoca vitulina,-67.888306,44.421444
Phoca vitulina,10.99064,58.7842
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-122.722447,47.180763
Phoca vitulina,11.03454,58.53755
Phoca vitulina,1.5502,50.3504
Phoca vitulina,-66.087928,45.264237
Phoca vitulina,2.766666667,51.16666667
Phoca vitulina,-67.5,44.2667
Phoca vitulina,-122.959066,47.612793
Phoca vitulina,15.96139,56.19057
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-66.084701,45.260005
Phoca vitulina,12.13104,57.21097
Phoca vitulina,-122.834914,47.677658
Phoca vitulina,-66.084701,45.260005
Phoca vitulina,11.08283,58.53199
Phoca vitulina,11.08436,58.53058
Phoca vitulina,-68.583423,44.055525
Phoca vitulina,-170.4,57.04583
Phoca vitulina,3.168542,51.331082
Phoca vitulina,11.35994,58.25166
Phoca vitulina,11.00163,58.84225
Phoca vitulina,2.813988,51.189582
Phoca vitulina,-66.071022,45.271331
Phoca vitulina,-122.849764,47.680017
Phoca vitulina,11.07856,58.53514
Phoca vitulina,11.07856,58.53514
Phoca vitulina,-9.977337,53.56341
Phoca vitulina,-66.08584,45.25954
Phoca vitulina,10.98007,58.77428
Phoca vitulina,-122.827968,47.111697
Phoca vitulina,12.14038,57.16996
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,11.82785,57.45714
Phoca vitulina,11.61022,57.83332
Phoca vitulina,11.08614,58.54154
Phoca vitulina,11.0561,58.83604
Phoca vitulina,-67.115642,44.915072
Phoca vitulina,2.3367,51.0567
Phoca vitulina,-122.484348,48.34273
Phoca vitulina,-68.590112,44.223882
Phoca vitulina,11.61487,57.83606
Phoca vitulina,11.3398,58.28359
Phoca vitulina,11.83183,57.44755
Phoca vitulina,12.4,66.13
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-66.071022,45.271331
Phoca vitulina,11.06044,58.5484
Phoca vitulina,-122.839607,47.711882
Phoca vitulina,10.99064,58.7842
Phoca vitulina,-161.75,58.58333
Phoca vitulina,-0.4524,49.3355
Phoca vitulina,-9.988681,54.188709
Phoca vitulina,-71.400556,41.49
Phoca vitulina,-66.077674,45.269119
Phoca vitulina,11.02844,58.82284
Phoca vitulina,1.4449,50.1017
Phoca vitulina,-68.775917,43.867367
Phoca vitulina,-122.869237,47.670751
Phoca vitulina,11.83258,57.44617
Phoca vitulina,-68.8137,44.209117
Phoca vitulina,-68.763667,44.370567
Phoca vitulina,12.55024,56.43268
Phoca vitulina,-68.753917,44.25555
Phoca vitulina,12.05459,57.26097
Phoca vitulina,11.01155,58.83714
Phoca vitulina,-122.491476,47.31042
Phoca vitulina,-68.432478,44.22675
Phoca vitulina,15.96986,56.1933
Phoca vitulina,-68.498975,44.409793
Phoca vitulina,-122.554474,47.978541
Phoca vitulina,-66.077674,45.269119
Phoca vitulina,15.97654,56.18542
Phoca vitulina,-76.4117,72.7985
Phoca vitulina,11.04004,58.54071
Phoca vitulina,17.98,69.87
Phoca vitulina,-66.077674,45.269119
Phoca vitulina,-66.071022,45.271331
Phoca vitulina,-70.531567,43.333423
Phoca vitulina,12.17088,57.13773
Phoca vitulina,-68.8298,44.236133
Phoca vitulina,-69.229,43.794
Phoca vitulina,-9.61776,53.86616
Phoca vitulina,11.76934,57.66943
Phoca vitulina,11.08004,58.55215
Phoca vitulina,11.35814,58.25158
Phoca vitulina,11.73221,57.50516
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-68.928,44.005
Phoca vitulina,12.80907,55.36583
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-122.918215,47.18958
Phoca vitulina,11.02592,58.58744
Phoca vitulina,11.74711,57.53144
Phoca vitulina,16.384,56.41867
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-68.151062,44.451672
Phoca vitulina,-68.8114,44.2273
Phoca vitulina,11.18342,58.54662
Phoca vitulina,-68.328662,44.16099
Phoca vitulina,-122.863489,47.644325
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-122.613162,47.676184
Phoca vitulina,-68.782,43.991
Phoca vitulina,-67.481885,44.562207
Phoca vitulina,16.64088,56.52244
Phoca vitulina,11.34583,58.08254
Phoca vitulina,11.34192,58.08312
Phoca vitulina,-122.343712,47.875252
Phoca vitulina,2.4853,51.0713
Phoca vitulina,11.34594,58.08302
Phoca vitulina,-68.8058,44.187033
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,11.72104,57.50366
Phoca vitulina,-122.498712,48.309153
Phoca vitulina,-68.932259,44.317057
Phoca vitulina,-68.475928,44.095145
Phoca vitulina,-68.443856,44.191117
Phoca vitulina,-121.975,36.3667
Phoca vitulina,-9.570488,51.601952
Phoca vitulina,2.63119,51.122241
Phoca vitulina,-66.087928,45.264237
Phoca vitulina,11.03539,58.54796
Phoca vitulina,11.04984,58.57441
Phoca vitulina,10.98944,58.77745
Phoca vitulina,-119.87913,34.40555
Phoca vitulina,-69.341683,43.873483
Phoca vitulina,1.5447,50.3165
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-68.453044,44.190255
Phoca vitulina,11.60308,57.81933
Phoca vitulina,-122.827031,47.713706
Phoca vitulina,-122.897911,48.116255
Phoca vitulina,-66.08584,45.25954
Phoca vitulina,-71.475556,41.395
Phoca vitulina,-67.101985,44.9042
Phoca vitulina,-157.62833,56.50667
Phoca vitulina,10.95808,58.92864
Phoca vitulina,15.98181,56.1973
Phoca vitulina,-69.770825,43.749063
Phoca vitulina,11.02575,58.82151
Phoca vitulina,-69.31,43.84
Phoca vitulina,-122.548727,48.241863
Phoca vitulina,-68.566537,44.099537
Phoca vitulina,-67.83493,44.181
Phoca vitulina,11.59247,57.83186
Phoca vitulina,23.22,70.8
Phoca vitulina,11.35673,58.28296
Phoca vitulina,-122.810063,47.676997
Phoca vitulina,11.1801,58.53866
Phoca vitulina,-66.087928,45.264237
